Name,Location,Acceptance Rate
Massachusetts Institute of Technology,"Cambridge, MA",99%
University of Chicago,"Chicago, IL",99%
Dartmouth College,"Hanover, NH",98%
Duke University,"Durham, NC",98%
Georgia Institute of Technology,"Atlanta, GA",98%
Northwestern University,"Evanston, IL",98%
Rice University,"Houston, TX",98%
University of Notre Dame,"Notre Dame, IN",98%
Brown University,"Providence, RI",97%
California Institute of Technology,"Pasadena, CA",97%
Carnegie Mellon University,"Pittsburgh, PA",97%
Columbia University,"New York, NY",97%
Cornell University,"Ithaca, NY",97%
Johns Hopkins University,"Baltimore, MD",97%
Northeastern University,"Boston, MA",97%
University of California--Los Angeles,"Los Angeles, CA",97%
University of Florida,"Gainesville, FL",97%
University of Michigan--Ann Arbor,"Ann Arbor, MI",97%
University of Pennsylvania,"Philadelphia, PA",97%
University of Virginia,"Charlottesville, VA",97%
Georgetown University,"Washington, DC",96%
"University of California, Berkeley","Berkeley, CA",96%
University of North Carolina--Chapel Hill,"Chapel Hill, NC",96%
The University of Texas--Austin,"Austin, TX",96%
Vanderbilt University,"Nashville, TN",96%
Villanova University,"Villanova, PA",96%
Washington University in St. Louis,"St. Louis, MO",96%
Boston College,"Chestnut Hill, MA",95%
Emory University,"Atlanta, GA",95%
Florida State University,"Tallahassee, FL",95%
Stanford University,"Stanford, CA",95%
Tufts University,"Medford, MA",95%
University of Georgia,"Athens, GA",95%
"University of Maryland, College Park","College Park, MD",95%
University of Southern California,"Los Angeles, CA",95%
University of Wisconsin--Madison,"Madison, WI",95%
Wake Forest University,"Winston-Salem, NC",95%
Boston University,"Boston, MA",94%
New York University,"New York, NY",94%
North Carolina State University,"Raleigh, NC",94%
The Ohio State University,"Columbus, OH",94%
Texas A&M University,"College Station, TX",94%
"University of California, San Diego","La Jolla, CA",94%
University of Illinois Urbana-Champaign,"Champaign, IL",94%
University of Washington,"Seattle, WA",94%
William & Mary,"Williamsburg, VA",94%
Worcester Polytechnic Institute,"Worcester, MA",94%
Auburn University,"Auburn, AL",93%
Case Western Reserve University,"Cleveland, OH",93%
Clemson University,"Clemson, SC",93%
Colorado School of Mines,"Golden, CO",93%
